Geography,date_fmt,Date,Cumulative Deaths,date_str,date_value,current_date,,,,
United States,"May  4, 2024",May  4 2024,1191473,"May 04, 2024",5/4/2024,"May 4, 2024",,,,
United States,"May 11, 2024",May 11 2024,1191801,"May 11, 2024",5/11/2024,"May 11, 2024",,,,
United States,"May 18, 2024",May 18 2024,1192130,"May 18, 2024",5/18/2024,"May 18, 2024",,,,
United States,"May 25, 2024",May 25 2024,1192466,"May 25, 2024",5/25/2024,"May 25, 2024",,,,
United States,"Jun  1, 2024",Jun  1 2024,1192782,"Jun 01, 2024",6/1/2024,"June 1, 2024",,,,
United States,"Jun  8, 2024",Jun  8 2024,1193081,"Jun 08, 2024",6/8/2024,"June 8, 2024",,,,
United States,"Jun 15, 2024",Jun 15 2024,1193428,"Jun 15, 2024",6/15/2024,"June 15, 2024",,,,
United States,"Jun 22, 2024",Jun 22 2024,1193827,"Jun 22, 2024",6/22/2024,"June 22, 2024",,,,
United States,"Jun 29, 2024",Jun 29 2024,1194195,"Jun 29, 2024",6/29/2024,"June 29, 2024",,,,
United States,"Jul  6, 2024",Jul  6 2024,1194589,"Jul 06, 2024",7/6/2024,"July 6, 2024",,,,
United States,"Jul 13, 2024",Jul 13 2024,1194946,"Jul 13, 2024",7/13/2024,"July 13, 2024",,,,
United States,"Jul 20, 2024",Jul 20 2024,1195175,"Jul 20, 2024",7/20/2024,"July 20, 2024",,,,
